Datetime,NVDA_price,NVDA_vol,TSM_price,TSM_vol,AMD_price,AMD_vol,INTC_price,INTC_vol,ASML_price,ASML_vol
2026-02-18 14:30:00+00:00,188.6999969482422,3846716,364.32000732421875,377647,197.60499572753906,960279,45.1150016784668,2369370,1428.530029296875,40522.0
2026-02-18 14:31:00+00:00,188.51010131835938,997105,364.5849914550781,33342,198.8300018310547,169714,45.025001525878906,673834,1436.0799560546875,3780.0
2026-02-18 14:32:00+00:00,187.6199951171875,820611,365.7099914550781,37247,198.52239990234375,160439,45.33000183105469,576005,1436.5999755859375,1718.0
2026-02-18 14:33:00+00:00,188.17999267578125,568408,365.55999755859375,23695,198.25,206502,45.224998474121094,321635,1433.969970703125,4257.0
2026-02-18 14:34:00+00:00,188.03500366210938,593164,364.45001220703125,21476,197.0,160429,45.130001068115234,293533,1432.800048828125,2264.0
2026-02-18 14:35:00+00:00,188.24000549316406,614614,365.3599853515625,27566,195.7626953125,327041,45.16999816894531,300711,1437.02001953125,3711.0
2026-02-18 14:36:00+00:00,188.0,535143,364.25,24818,195.66000366210938,203888,44.939998626708984,412127,1432.9000244140625,3423.0
2026-02-18 14:37:00+00:00,187.63999938964844,521662,363.3399963378906,47149,195.2899932861328,231350,44.98820114135742,282238,1433.5400390625,3683.0
2026-02-18 14:38:00+00:00,188.2301025390625,566790,364.8999938964844,25070,196.2949981689453,214958,45.290199279785156,375120,1440.0,4804.0
2026-02-18 14:39:00+00:00,187.75599670410156,550998,364.75,21195,196.06500244140625,142291,45.25,251976,1439.5699462890625,2296.0
2026-02-18 14:40:00+00:00,187.4763946533203,529073,364.1700134277344,18335,195.69500732421875,128248,45.290000915527344,188877,1437.0,1932.0
2026-02-18 14:41:00+00:00,187.7100067138672,520287,364.5299987792969,23651,196.36000061035156,289284,45.564998626708984,323881,1439.27001953125,3688.0
2026-02-18 14:42:00+00:00,188.25999450683594,513847,364.7200012207031,12762,195.89500427246094,186608,45.63999938964844,272964,1441.7099609375,4780.0
2026-02-18 14:43:00+00:00,188.57839965820312,562114,364.79888916015625,15544,196.3800048828125,210586,45.760101318359375,348370,1439.4000244140625,2887.0
2026-02-18 14:44:00+00:00,188.364501953125,584907,364.42999267578125,23362,196.86019897460938,204153,45.70000076293945,224904,1438.010009765625,4353.0
2026-02-18 14:45:00+00:00,188.3699951171875,501156,363.94500732421875,42183,197.31500244140625,168708,45.69990158081055,253350,1439.3199462890625,3319.0
2026-02-18 14:46:00+00:00,188.5032958984375,431414,364.1549987792969,16154,197.47500610351562,129598,45.64690017700195,319221,1441.22998046875,2855.0
2026-02-18 14:47:00+00:00,188.77499389648438,634393,364.7099914550781,17829,197.66969299316406,127855,45.61000061035156,167215,1441.9100341796875,3028.0
2026-02-18 14:48:00+00:00,188.4949951171875,609324,363.79998779296875,22971,196.75990295410156,167665,45.58000183105469,210545,1439.18994140625,3325.0
2026-02-18 14:49:00+00:00,188.22999572753906,434180,363.510009765625,16390,197.02999877929688,99214,45.619998931884766,171019,1437.4849853515625,2181.0
2026-02-18 14:50:00+00:00,188.1300048828125,287890,363.635009765625,16265,197.27200317382812,110321,45.775001525878906,383117,1438.68994140625,2508.0
2026-02-18 14:51:00+00:00,187.9199981689453,410092,363.6000061035156,19975,198.16000366210938,179983,45.68000030517578,195797,1439.3699951171875,1992.0
2026-02-18 14:52:00+00:00,187.9801025390625,273623,364.5199890136719,19831,198.77000427246094,2077572,45.70500183105469,127245,1440.5201416015625,1017.0
2026-02-18 14:53:00+00:00,187.91000366210938,363113,364.0849914550781,13308,198.69500732421875,0,45.7400016784668,146473,1440.2750244140625,1389.0
2026-02-18 14:54:00+00:00,188.1300048828125,368338,364.510009765625,10146,198.75,160266,45.94990158081055,293213,1442.8499755859375,1683.0
2026-02-18 14:55:00+00:00,188.07000732421875,235476,364.4949951171875,11440,198.64500427246094,97415,45.91130065917969,163667,1442.550048828125,1803.0
2026-02-18 14:56:00+00:00,188.36500549316406,331670,365.0050048828125,15988,199.08580017089844,156353,46.095001220703125,285876,1442.3885498046875,1418.0
2026-02-18 14:57:00+00:00,188.4355010986328,319476,365.1700134277344,22086,198.6999969482422,189094,46.180999755859375,218118,1442.6099853515625,1951.0
2026-02-18 14:58:00+00:00,188.6999969482422,479007,366.0199890136719,58748,198.66000366210938,116279,46.17499923706055,200331,1444.06005859375,4245.0
2026-02-18 14:59:00+00:00,188.75,396437,365.7200012207031,34008,198.19129943847656,124026,46.099998474121094,224723,1444.5699462890625,2655.0
2026-02-18 15:00:00+00:00,189.04649353027344,545944,366.0899963378906,22487,197.94500732421875,122269,45.972999572753906,193142,1444.5799560546875,3770.0
2026-02-18 15:01:00+00:00,189.05999755859375,362225,366.5199890136719,29957,197.81500244140625,131302,46.04090118408203,121587,1445.010009765625,4423.0
2026-02-18 15:02:00+00:00,189.14649963378906,388065,366.27850341796875,35490,197.89999389648438,147453,46.21670150756836,218029,1447.030029296875,4770.0
